Wavelength	Intensity	Element	Ion
337.532	60	Ti	II
338.973	60	Ti	II
339.961	60	Ti	I
340.34	60	Ti	II
340.818	60	Ti	II
344.029	60	Ti	I
345.346	60	Ti	II
347.992	60	Ti	I
348.669	60	Ti	I
349.074	60	Ti	II
349.675	60	Ti	I
352.126	60	Ti	II
357.526	60	Ti	I
358.815	60	Ti	II
369.948	60	Ti	I
370.113	60	Ti	I
373.996	60	Ti	I
376.752	60	Ti	I
379.939	60	Ti	I
382.311	60	Ti	I
384.754	60	Ti	I
388.912	60	Ti	I
398.546	60	Ti	I
398.672	60	Ti	I
437.361	60	Ti	I
440.101	60	Ti	II
440.614	60	Ti	I
441.778	60	Ti	I
441.896	60	Ti	II
456.12	60	Ti	I
460.052	60	Ti	I
463.918	60	Ti	I
721.819	60	Ti	I
736.614	60	Ti	I
798.107	60	Ti	I
241.909	55	Ti	I
273.61	55	Ti	I
280.653	55	Ti	I
286.958	55	Ti	II
289.192	55	Ti	II
290.651	55	Ti	I
473.249	55	Ti	I
491.661	55	Ti	I
492.678	55	Ti	I
496.614	55	Ti	I
504.682	55	Ti	I
511.086	55	Ti	I
524.803	55	Ti	I
526.145	55	Ti	I
526.496	55	Ti	I
537.113	55	Ti	I
539.149	55	Ti	I
546.203	55	Ti	I
571.807	55	Ti	I
576.795	55	Ti	I
590.497	55	Ti	I
631.399	55	Ti	I
654.809	55	Ti	I
719.187	55	Ti	I
802.705	55	Ti	I
838.512	55	Ti	I
257.342	50	Ti	II
258.159	50	Ti	I
311.157	50	Ti	II
311.338	50	Ti	I
319.844	50	Ti	II
320.437	50	Ti	II
320.58	50	Ti	I
370.858	50	Ti	I
373.673	50	Ti	I
376.296	50	Ti	II
443.252	50	Ti	I
444.252	50	Ti	I
448.185	50	Ti	I
451.244	50	Ti	I
456.391	50	Ti	I
473.475	45	Ti	I
476.766	45	Ti	I
478.306	45	Ti	I
479.756	45	Ti	I
480.987	45	Ti	I
488.371	45	Ti	I
847.083	45	Ti	I
868.537	45	Ti	I
242.897	40	Ti	I
251.98	40	Ti	I
273.239	40	Ti	I
273.642	40	Ti	I
274.987	40	Ti	I
281	40	Ti	I
285.477	40	Ti	II
402.628	40	Ti	II
402.862	40	Ti	I
402.948	40	Ti	II
403.505	40	Ti	I
408.087	40	Ti	I
412.447	40	Ti	I
413.033	40	Ti	I
413.242	40	Ti	I
416.749	40	Ti	I
417.308	40	Ti	II
418.987	40	Ti	I
422.598	40	Ti	I
422.884	40	Ti	I
426.742	40	Ti	I
431.286	40	Ti	I
449.627	40	Ti	I
450.504	40	Ti	I
469.499	40	Ti	I
481.359	40	Ti	I
483.748	40	Ti	I
508.676	40	Ti	I
518.778	40	Ti	I
528.386	40	Ti	I
539.068	40	Ti	I
542.777	40	Ti	I
544.815	40	Ti	I
547.507	40	Ti	I
551.331	40	Ti	I
571.551	40	Ti	I
574.161	40	Ti	I
576.387	40	Ti	I
582.532	40	Ti	I
609.45	40	Ti	I
610.036	40	Ti	I
704.074	40	Ti	I
844.125	40	Ti	I
845.321	40	Ti	I
852.066	40	Ti	I
855.047	40	Ti	I
238.525	35	Ti	I
243.396	35	Ti	I
244.095	35	Ti	II
259.103	35	Ti	I
265.798	35	Ti	I
296.085	35	Ti	I
300.174	35	Ti	I
392.093	35	Ti	I
393.313	35	Ti	II
398.638	35	Ti	I
399.583	35	Ti	I
400.71	35	Ti	I
401.742	35	Ti	I
404.146	35	Ti	I
416.531	35	Ti	I
418.448	35	Ti	I
421.292	35	Ti	I
426.691	35	Ti	I
430.971	35	Ti	I
435.528	35	Ti	I
456.471	35	Ti	I
457.219	35	Ti	I
479.932	35	Ti	I
486.554	35	Ti	I
504.568	35	Ti	I
506.548	35	Ti	I
506.974	35	Ti	I
528.586	35	Ti	I
540.552	35	Ti	I
545.517	35	Ti	I
547.422	35	Ti	I
570.981	35	Ti	I
572.207	35	Ti	I
612.27	35	Ti	I
618.786	35	Ti	I
636.811	35	Ti	I
660.093	35	Ti	I
686.336	35	Ti	I
265.009	30	Ti	I
268.594	30	Ti	I
280.733	30	Ti	II
281.381	30	Ti	I
281.823	30	Ti	I
291.077	30	Ti	II
297.58	30	Ti	I
369.923	30	Ti	I
371.646	30	Ti	I
377.713	30	Ti	II
403.605	30	Ti	I
428.001	30	Ti	I
428.937	30	Ti	I
433.606	30	Ti	I
438.931	30	Ti	I
440.692	30	Ti	I
442.707	30	Ti	I
443.384	30	Ti	I
443.948	30	Ti	I
445.174	30	Ti	II
492.754	30	Ti	I
493.912	30	Ti	I
494.296	30	Ti	I
499.647	30	Ti	I
513.058	30	Ti	II
519.103	30	Ti	I
545.041	30	Ti	I
547.598	30	Ti	I
568.152	30	Ti	I
578.238	30	Ti	I
614.792	30	Ti	I
633.785	30	Ti	I
795.136	30	Ti	I
799.873	30	Ti	I
807.046	30	Ti	I
252.874	29	Ti	I
477.11	28	Ti	I
480.644	28	Ti	II
488.227	28	Ti	I
268.56	26	Ti	I
271.705	26	Ti	II
296.057	26	Ti	I
296.91	26	Ti	I
504.962	26	Ti	I
533.829	26	Ti	II
536.814	26	Ti	I
543.824	26	Ti	I
549.237	26	Ti	I
631.978	26	Ti	I
671.853	26	Ti	I
714.088	26	Ti	I
732.041	26	Ti	I
744.265	26	Ti	I
749.167	26	Ti	I
796.377	26	Ti	I
245.118	24	Ti	II
250.529	24	Ti	I
391.585	24	Ti	I
434.551	24	Ti	II
437.017	24	Ti	I
442.563	24	Ti	I
443.482	24	Ti	I
444.552	24	Ti	I
449.381	24	Ti	I
449.899	24	Ti	I
453.85	24	Ti	I
454.037	24	Ti	I
455.636	24	Ti	I
459.124	24	Ti	II
462.081	24	Ti	I
465.734	24	Ti	I
469.211	24	Ti	I
469.825	24	Ti	I
471.662	24	Ti	I
699.856	23	Ti	I
707.106	23	Ti	I
765.655	23	Ti	I
869.472	23	Ti	I
876.905	23	Ti	I
474.344	22	Ti	I
474.901	22	Ti	I
481.242	22	Ti	I
482.681	22	Ti	I
674.738	22	Ti	I
273.194	21	Ti	I
443.126	21	Ti	I
446.334	21	Ti	I
450.762	21	Ti	I
461.066	21	Ti	I
468.823	21	Ti	I
494.957	21	Ti	I
495.963	21	Ti	I
496.743	21	Ti	I
505.549	21	Ti	I
510.457	21	Ti	I
524.761	21	Ti	I
525.241	21	Ti	I
545.067	21	Ti	I
567.499	21	Ti	I
575.444	21	Ti	I
615.144	21	Ti	I
243.484	19	Ti	I
448.958	19	Ti	II
451.689	19	Ti	I
455.914	19	Ti	I
455.939	19	Ti	I
574.281	19	Ti	I
575.846	19	Ti	I
614.008	19	Ti	I
650.994	19	Ti	I
656.743	19	Ti	I
726.829	19	Ti	I
749.818	19	Ti	I
841.929	19	Ti	I
846.948	19	Ti	I
852.039	19	Ti	I
873.709	19	Ti	I
473.6	18	Ti	I
666.839	18	Ti	I
667.902	18	Ti	I
534.299	17	Ti	I
539.81	17	Ti	I
543.983	17	Ti	I
649.949	17	Ti	I
265.572	15	Ti	I
276.211	15	Ti	II
700.659	15	Ti	I
731.758	15	Ti	I
761.66	15	Ti	I
842.672	15	Ti	I
849.837	15	Ti	I
878.112	15	Ti	I
657.7	14	Ti	I
693.506	14	Ti	I
694.562	14	Ti	I
701.028	14	Ti	I
701.287	14	Ti	I
703.78	14	Ti	I
705.259	14	Ti	I
830.859	14	Ti	I
835.545	14	Ti	I
854.173	14	Ti	I
691.51	12	Ti	I
758.264	12	Ti	I
833.666	12	Ti	I
642.087	11	Ti	I
735.419	11	Ti	I
438.047	12000	V	I
411.294	8900	V	I
438.595	7000	V	I
318.49	5300	V	I
439.12	4800	V	I
440.975	4600	V	I
411.634	4300	V	I
309.401	3800	V	II
318.632	3800	V	I
370.463	3800	V	I
439.646	3600	V	I
440.944	3600	V	I
318.433	3200	V	I
412.923	3100	V	I
413.319	3100	V	I
310.32	3000	V	II
385.693	3000	V	I
410.096	2800	V	I
410.633	2800	V	I
440.888	2800	V	I
311.161	2600	V	II
384.184	2600	V	I
290.967	2400	V	II
292.488	2400	V	II
306.727	2400	V	I
390.336	2400	V	I
411.095	2300	V	I
413.566	2300	V	I
440.788	2300	V	I
209.311	2100	V	I
311.928	2000	V	II
412.473	2000	V	I
446.154	2000	V	I
370.575	1800	V	I
409.385	1800	V	I
411.763	1800	V	I
292.55	1700	V	II
382.965	1700	V	I
312.619	1500	V	II
369.327	1500	V	I
387.618	1500	V	I
289.417	1400	V	II
306.135	1400	V	I
440.182	1400	V	I
368.912	1300	V	I
381.932	1300	V	I
386.596	1300	V	I
459.54	1300	V	I
609.191	1300	V	I
305.722	1200	V	I
385.646	1200	V	I
570.01	1200	V	I
268.876	1100	V	II
294.543	1100	V	II
326.864	1100	V	II
379.604	1100	V	I
409.173	1100	V	I
369.133	1000	V	I
369.691	1000	V	I
381.457	1000	V	I
435.409	1000	V	I
446.101	1000	V	I
570.514	920	V	I
289.249	900	V	II
289.351	900	V	II
290.731	900	V	II
294.223	900	V	II
327.206	900	V	II
409.665	890	V	I
572.862	850	V	I
444.293	830	V	I
458.765	830	V	I
434.223	760	V	I
319.16	750	V	II
320.331	750	V	I
327.706	750	V	II
488.292	740	V	I
291.087	710	V	II
292.448	710	V	I
293.167	710	V	II
624.483	710	V	I
389.128	700	V	I
391.1	700	V	I
270.174	680	V	II
271.649	640	V	II
295.294	640	V	II
441.771	640	V	I
442.281	640	V	I
443.909	640	V	I
444.546	640	V	I
458.168	640	V	I
487.684	620	V	I
445.326	610	V	I
446.361	610	V	I
296.925	600	V	II
612.121	600	V	I
410.332	590	V	I
368.418	570	V	I
370.609	570	V	I
380.099	570	V	I
380.455	570	V	I
382.309	570	V	I
384.153	570	V	I
387.719	570	V	I
570.856	570	V	I
291.191	560	V	II
351.831	560	V	II
353.469	560	V	I
354.621	560	V	II
355.782	560	V	II
359.078	560	V	II
359.356	560	V	I
426.984	560	V	I
399.17	540	V	I
270.697	530	V	II
289.329	530	V	II
291.124	530	V	II
313.118	530	V	II
318.943	530	V	II
319.893	530	V	I
379.14	520	V	I
380.96	520	V	I
433.404	510	V	I
457.845	510	V	I
290.832	490	V	II
359.305	490	V	II
486.61	480	V	I
608.312	480	V	I
368.852	470	V	I
389.396	460	V	I
427.275	460	V	I
427.816	460	V	I
433.124	460	V	I
442.724	460	V	I
294.235	450	V	II
305.454	450	V	I
320.651	450	V	I
320.834	450	V	I
369.639	450	V	I
382.397	450	V	I
604.14	450	V	I
620.091	450	V	I
621.809	450	V	I
399.986	430	V	I
428.527	430	V	I
443.739	430	V	I
623.246	430	V	I
387.7	420	V	I
252.698	410	V	I
296.364	410	V	I
313.424	410	V	II
318.863	410	V	II
321.336	410	V	I
445.873	410	V	I
562.92	400	V	I
267.86	380	V	II
268.012	380	V	II
270.299	380	V	II
288.335	380	V	II
288.563	380	V	II
289.047	380	V	II
291.578	380	V	I
292.123	380	V	II
297.739	380	V	II
312.204	380	V	II
384.553	380	V	I
447.096	380	V	I
449.015	380	V	I
289.706	360	V	II
290.393	360	V	II
405.21	360	V	I
405.249	360	V	I
423.365	360	V	I
454.666	360	V	I
288.087	350	V	II
429.303	330	V	I
371.653	320	V	II
384.842	320	V	I
485.284	320	V	I
442.976	310	V	I
567.242	310	V	I
295.121	300	V	II
368.116	300	V	I
380.858	300	V	I
382.429	300	V	I
267.279	290	V	II
303.47	290	V	II
367.445	280	V	I
367.675	280	V	I
373.382	280	V	II
383.531	280	V	I
389.912	280	V	I
405.822	280	V	I
456.199	280	V	I
611.336	280	V	I
613.708	280	V	I
625.355	280	V	I
267.937	270	V	II
303.433	270	V	II
359.436	270	V	II
377.975	270	V	I
295.838	260	V	II
300.207	260	V	II
312.713	260	V	II
393.113	260	V	I
393.512	260	V	I
399.393	260	V	I
410.594	260	V	I
366.463	250	V	I
366.878	250	V	I
372.84	250	V	II
250.854	240	V	I
252.038	240	V	I
253.094	240	V	I
269.159	240	V	II
272.945	240	V	II
286.52	240	V	I
297.841	240	V	I
392.577	240	V	I
257.479	230	V	I
269.104	230	V	II
294.319	230	V	I
294.406	230	V	I
295.049	230	V	I
304.401	230	V	I
304.445	230	V	I
304.583	230	V	I
304.911	230	V	II
353.075	230	V	I
353.178	230	V	II
374.686	230	V	II
381.068	230	V	I
382.104	230	V	I
382.257	230	V	I
386.87	230	V	I
392.354	230	V	I
406.508	230	V	I
407.269	230	V	I
410.556	230	V	I
411.468	230	V	I
412.062	230	V	I
418.06	230	V	I
421.105	230	V	I
443.104	230	V	I
462.106	230	V	I
573.284	230	V	I
573.865	230	V	I
391.332	220	V	I
429.732	220	V	I
252.866	210	V	II
256.29	210	V	I
286.894	210	V	I
287.139	210	V	I
292.084	210	V	II
293.526	210	V	II
313.584	210	V	II
321.804	210	V	II
350.544	210	V	II
375.194	210	V	II
377.204	210	V	II
285.606	200	V	I
306.801	200	V	II
309.51	200	V	II
314.339	200	V	II
392.904	200	V	I
447.597	200	V	I
457.306	200	V	I
562.616	200	V	I
628.69	200	V	I
629.457	200	V	I
368.731	190	V	I
380.788	190	V	I
251.241	180	V	I
251.271	180	V	I
251.79	180	V	I
266.221	180	V	I
268.367	180	V	II
268.389	180	V	II
273.216	180	V	I
286.081	180	V	I
301.766	180	V	II
305.428	180	V	II
310.184	180	V	II
409.357	180	V	I
411.934	180	V	I
411.98	180	V	I
412.17	180	V	I
412.435	180	V	I
419.102	180	V	I
419.274	180	V	I
423.414	180	V	I
423.519	180	V	I
615.185	180	V	I
268.952	170	V	II
271.254	170	V	II
286.743	170	V	I
305.178	170	V	I
307.471	170	V	I
340.138	170	V	I
367.225	170	V	I
367.773	170	V	I
387.218	170	V	I
400.684	170	V	II
429.889	170	V	I
429.924	170	V	I
430.742	170	V	I
431.101	170	V	I
459.251	170	V	I
572.925	170	V	I
624.454	170	V	I
627.639	170	V	I
629.823	170	V	I
384.009	160	V	I
467.18	160	V	I
250.766	150	V	I
252.96	150	V	II
264.605	150	V	I
265.701	150	V	I
269.068	150	V	II
270.75	150	V	II
272.337	150	V	I
290.698	150	V	I
308.301	150	V	I
312.381	150	V	II
313.742	150	V	II
314.065	150	V	II
314.625	150	V	II
323.88	150	V	II
352.103	150	V	II
373.549	150	V	I
386.332	150	V	I
392.635	150	V	I
393.245	150	V	I
393.625	150	V	I
394.478	150	V	I
403.677	150	V	II
416.086	150	V	I
418.377	150	V	I
435.716	150	V	I
436.927	150	V	I
483.299	150	V	I
250.236	140	V	I
263.145	140	V	II
265.269	140	V	I
275.421	140	V	II
276.649	140	V	II
277.855	140	V	II
285.371	140	V	I
285.518	140	V	II
286.997	140	V	II
288.91	140	V	II
301.57	140	V	II
306.414	140	V	II
307.053	140	V	I
325.571	140	V	II
326.418	140	V	I
329.909	140	V	I
381.892	140	V	I
390.023	140	V	II
390.128	140	V	I
390.226	140	V	I
391.544	140	V	II
395.309	140	V	II
430.839	140	V	I
437.446	140	V	I
441.338	140	V	I
452.549	140	V	I
458.001	140	V	I
541.677	140	V	I
558.605	140	V	I
264.3	130	V	II
370.978	130	V	I
386.497	130	V	I
387.981	130	V	II
405.897	130	V	I
435.62	130	V	I
464.77	130	V	I
477.77	130	V	I
479.826	130	V	I
480.887	130	V	I
482.88	130	V	I
621.559	130	V	I
622.622	130	V	I
627.055	130	V	I
240.748	120	V	I
241.606	120	V	I
241.748	120	V	I
252.923	120	V	II
255.342	120	V	I
269.779	120	V	I
269.854	120	V	I
271.5	120	V	II
280.43	120	V	II
284.741	120	V	I
291.822	120	V	II
295.519	120	V	I
297.312	120	V	II
297.707	120	V	II
402.453	120	V	II
403.297	120	V	I
404.378	120	V	I
409.466	120	V	I
410.938	120	V	I
411.349	120	V	I
412.523	120	V	I
413.002	120	V	I
422.781	120	V	I
423.695	120	V	I
426.051	120	V	I
426.336	120	V	I
442.118	120	V	I
442.855	120	V	I
445.901	120	V	I
446.926	120	V	I
447.53	120	V	I
450.321	120	V	I
483.378	120	V	I
811.903	120	V	I
240.863	110	V	I
242.902	110	V	I
243.626	110	V	I
255.005	110	V	II
256.559	110	V	I
270.866	110	V	II
284.841	110	V	II
287.853	110	V	II
288	110	V	II
290.045	110	V	I
293.673	110	V	I
294.739	110	V	I
328.079	110	V	II
333.082	110	V	I
336.652	110	V	I
337.859	110	V	I
342.605	110	V	I
348.692	110	V	II
352.573	110	V	II
354.451	110	V	I
355.429	110	V	I
356.72	110	V	I
360.772	110	V	I
364.006	110	V	I
364.575	110	V	I
367.046	110	V	II
384.047	110	V	I
384.298	110	V	I
385.041	110	V	I
478.785	110	V	I
512.996	110	V	I
513.985	110	V	I
519.444	110	V	I
519.628	110	V	I
523.553	110	V	I
524.233	110	V	I
565.901	110	V	I
566.993	110	V	I
574.504	110	V	I
653.323	110	V	I
242.086	100	V	I
242.18	100	V	I
242.272	100	V	I
274.052	100	V	II
307.616	100	V	I
390.786	100	V	I
391.19	100	V	I
391.752	100	V	II
392.16	100	V	I
392.301	100	V	I
393.739	100	V	I
395.135	100	V	I
397.476	100	V	II
417.519	100	V	I
425.857	100	V	I
437.653	100	V	I
438.178	100	V	I
449.732	100	V	I
455.093	100	V	I
460.744	100	V	I
463.648	100	V	I
540.343	100	V	I
559.397	100	V	I
605.982	100	V	I
623.492	100	V	I
490.566	95	V	I
239.363	85	V	I
492.703	85	V	I
501.602	85	V	I
548.944	85	V	I
564.768	85	V	I
584.792	85	V	I
617.207	85	V	I
625.863	85	V	I
626.03	85	V	I
626.805	85	V	I
470.789	80	V	I
471.188	80	V	I
239.16	75	V	I
239.199	75	V	I
239.851	70	V	I
239.9	70	V	I
240.069	70	V	I
500.373	70	V	I
515.015	70	V	I
517.821	70	V	I
550.928	70	V	I
554.861	70	V	I
560.65	70	V	I
562.645	70	V	I
572.723	70	V	I
577.402	70	V	I
632.859	70	V	I
645.412	70	V	I
816.331	70	V	I
462.571	65	V	I
464.137	65	V	I
464.204	65	V	I
471.544	65	V	I
475.881	65	V	I
675.486	65	V	I
238.769	60	V	I
238.965	60	V	I
892.23	60	V	I
470.748	55	V	I
471.901	55	V	I
476.796	55	V	I
488.192	55	V	I
490.199	55	V	I
519.681	55	V	I
562.757	55	V	I
578.776	55	V	I
583.234	55	V	I
600.429	55	V	I
624.186	55	V	I
626.295	55	V	I
634.084	55	V	I
650.597	55	V	I
462.778	50	V	I
542.559	50	V	I
635.124	50	V	I
635.906	50	V	I
660.779	50	V	I
662.668	50	V	I
676.836	50	V	I
475.231	45	V	I
238.473	40	V	II
238.501	40	V	I
472.283	40	V	I
472.418	40	V	I
473.085	40	V	I
474.985	40	V	I
475.526	40	V	I
516.079	40	V	I
521.804	40	V	I
535.49	40	V	I
538.664	40	V	I
543.569	40	V	I
573.56	40	V	I
575.046	40	V	I
578.598	40	V	I
592.621	40	V	I
678.685	40	V	I
734.094	40	V	I
468.823	35	V	I
471.721	35	V	I
475.289	35	V	I
486.397	35	V	I
493.341	35	V	I
506.553	35	V	I
510.656	35	V	I
522.722	35	V	I
523.521	35	V	I
538.493	35	V	I
556.029	35	V	I
577.824	35	V	I
580.875	35	V	I
581.914	35	V	I
636.303	35	V	I
643.225	35	V	I
735.857	35	V	I
818.896	35	V	I
820.533	35	V	I
461.094	30	V	I
465.019	30	V	I
466.745	30	V	I
802.96	29	V	I
814.683	29	V	I
820.112	29	V	I
825.578	29	V	I
825.815	29	V	I
893.538	29	V	I
505.304	28	V	I
541.96	28	V	I
550.64	28	V	I
556.32	28	V	I
560.294	28	V	I
598.057	28	V	I
600.397	28	V	I
601.779	28	V	I
610.867	28	V	I
622.003	28	V	I
631.325	28	V	I
654.532	28	V	I
473.17	27	V	I
474.396	27	V	I
489.297	27	V	I
681.428	26	V	I
461.303	25	V	I
514.096	25	V	I
548.874	25	V	I
549.147	25	V	I
636.058	25	V	I
468.576	24	V	I
474.796	24	V	I
715.012	24	V	I
736.342	24	V	I
736.519	24	V	I
762.691	24	V	I
794.01	24	V	I
818.958	24	V	I
824.388	24	V	I
496.751	23	V	I
517.138	23	V	I
519.507	23	V	I
554.747	23	V	I
558.755	23	V	I
579.017	23	V	I
581.867	23	V	I
619.106	23	V	I
638.112	23	V	I
643.341	23	V	I
487.262	21	V	I
489.558	21	V	I
702.801	21	V	I
519.346	20	V	I
520.806	20	V	I
524.166	20	V	I
568.48	20	V	I
598.244	20	V	I
602.708	20	V	I
606.894	20	V	I
613.004	20	V	I
480.111	19	V	I
483.437	19	V	I
485.016	19	V	I
828.465	19	V	I
526.244	17	V	I
545.964	17	V	I
574.929	17	V	I
575.434	17	V	I
576.301	17	V	I
628.407	17	V	I
655.983	17	V	I
660.965	15	V	I
678.819	15	V	I
683.433	15	V	I
538.98	14	V	I
551.271	14	V	I
632.641	14	V	I
635.734	14	V	I
639.505	14	V	I
643.496	14	V	I
726.629	14	V	I
759.901	14	V	I
803.034	14	V	I
809.571	14	V	I
817.36	14	V	I
833.352	14	V	I
834.432	14	V	I
562.576	13	V	I
563.402	13	V	I
563.707	13	V	I
663.509	13	V	I
664.562	13	V	I
684.147	12	V	I
684.379	12	V	I
697.642	12	V	I
736.452	12	V	I
748.796	12	V	I
749.014	12	V	I
758.084	12	V	I
760.037	12	V	I
811.082	12	V	I
850.186	12	V	I
897.408	12	V	I
539.937	11	V	I
543.917	11	V	I
571.053	11	V	I
571.78	11	V	I
578.421	11	V	I
578.51	11	V	I
585.194	11	V	I
643.694	11	V	I
648.984	11	V	I
656.769	11	V	I
709.404	11	V	I
736.069	11	V	I
813.903	11	V	I
563.546	10	V	I
662.537	10	V	I
676.199	10	V	I
687.278	10	V	I
